BARNAME : BAD 
BAREDGE : 1.2
x       dl             id
0	0.1356				0
5.5	0.2268				0
5.75	0.1208			0
10.5	0.1907			0
10.75	0.1379			0
15	0.1717				0
20	0.2034				0
25	0.2395				0
30	0.2671				0
35	0.2968				0
40	0.318				0
45	0.3327				0
50	0.3285				0
55	0.3115				0
60	0.3074				0
70	0.2776				0
80	0.2437				0
90	0.261				0
100	0.282				0
110	0.2818				0
120	0.2819				0
130	0.2903				0
140	0.2587				0
150	0.2458				0
170	0.2987				0
180	0.3223				0
190	0.3475				0
208	0.3665				0
210	0.4047				0
220	0.3919				0
230	0.3686				0
240	0.3157				0
250	0.2734				0
260	0.2246				0
270	0.22				0
280	0.2225				0
290	0.2415				0
300	0.231				0
310	0.231				0
320	0.2458				0
330	0.3157				0
340	0.2818				0
350	0.3307				0
360	0.3157				0
370	0.2775				0
380	0.2225				0
390	0.2034				0
393.5	0.3391			0
394	0.1822				0
400	0					0
