BARNAME: BAD 
BAREDGE: 2.1
x       dl             id				0
0	0.3863				0
1	0.3415				0
5	0.2241				0
10	0.1804				0
15	0.1686				0
20	0.2668				0
30	0.1729				0
40	0.1857				0
50	0.1963				0
60	0.1835				0
70	0.1836				0
80	0.1708				0
90	0.18				0
100	0.1622				0
110	0.1729				0
120	0.175				0
130	0.1729				0
140	0.175				0
150	0.18				0
160	0.1601				0
170	0.175				0
180	0.1729				0
190	0.1579				0
208	0.1878				0
210	0.2219				0
220	0.2156				0
230	0.2113				0
240	0.2668				0
249	0.2443				0
250	0.2134				0
260	0.3649				0
269	0.2283				0
270	0.2733				0
280	0.3325				0
290	0.303				0
300	0.3093				0
310	0.3263				0
320	0.2585				0
330	0.3051				0
340	0.3559				0
350	0.481				0
360	0.4959				0
365	0.4894				0
370	0.5085				0
375	0.4726				0
380	0.5021				0
385	0.4152				0
390	0.37290				0
396	0.4767				0
400	0					0
