BARNAME: BAD 
BAREDGE: 2.2
x       dl             id					
0	0.3					0			
0.4	0.1377				0		
1	0.2347				0		
2	0.1					0		
5	0.0384				0		
10	0.049				0		
15	0.06615				0		
16	0.029				0		
40	0.029				0		
50	0.025				0		
80.75	1.635			0		
81.5	0.005			0		
120.75	1.46			0		
121.25	0.005			0		
150	0.01				0		
170	0.02				0		
171	0.005				0		
190	0.01				0		
208	0.025				0		
210	0.009				0		
308	0.012				0		
313	0.1377				0		
314	0.01				0		
335	0.03				0		
377.25	0.2754			0		
377.75	0.0234			0		
385	0.03				0		
393	0.01289				0		
39	7	0.005			0		
400	0					0
