BARNAME : BAD 
BAREDGE : 1.1
x       dl             id				
0	0.3116				0
0.5	0.04				0
1	0.08749				0
2	0.093				0
3	0.02				0
16	0.1313				0
16.5	0.0172			0
17	0.0					0	
25	0.04486				0
25.5	0.01			0
48	0.1665				0
49	0.01				0
60	0.02				0
70	0.05548				0
70.5	0.02			0
81	0.2					0
82	0.02				0
96	0.093				0
96.5	0.01			0
121	0.239				0
122	0.01				0
140	0.04				0
142	0.005				0
190	0.01				0
210	0.01				0
258.5	0.02			0
260	0.01				0
378	0.1046				0
379	0.01				0
383	0.09603				0
384	0.02847				0
385	0.01				0
388	0.03847				0
389	0.01				0
400	0					0
