BARNAME: BAD 
BAREDGE: 4.1
x       dl             id				
0	0.1473				0
10	0.1686				0
11	0.205				0
30	0.2497				0
40	0.2155				0
50	0.1622				0
60	0.1046				0
61	0.126				0
65	0.05				0
70	0.049				0
71	0.1					0
72	0.03				0
75	0					0
90	0.07				0
91	0.027				0
93	0.005				0
100	0.0747				0
100.25	0				0
110	0.01				0
112	0					0
160	0.04289				0
160.25	0				0
173	0.271				0
173.5	0				0
191	0.02347				0
191.5	0				0
227.5	0.0823			0
227.75	0				0
390	0.01				0
393	0.04289				0
399	0.0785				0
400	0					0
