BARNAME: BAD 
BAREDGE: 4.2
x       dl             id
0	0.1131				0
1	0.1558				0
4.5	0.1024				0
10	0.1344				0
15	0.175				0
20	0.1515				0
40	0.2412				0
41	0.2028				0
41.5	0.2945			0
50	0.254				0
60	0.2945				0
60.5	0.2219			0
71	0.2177				0
72	0.207				0
80	0.1707				0
80.5	0.2091			0
81	0.1793				0
90	0.2412				0
91	0.1729				0
91.5	0.3223			0
91.75	0.1729			0
100	0.1921				0
110	0.2					0
120	0.1899				0
121	0.2902				0
121.25	0.1899			0
130	0.2008				0
130.5	0.2646			0
130.75	0.2049			0
140	0.1771				0
141	0.1857				0
150	0.1707				0
151	0.1985				0
160	0.1814				0
170	0.2753				0
171	0.2262				0
180.5	0.3116			0
181	0.25				0
190	0.301				0
192	0.1686				0
208	0.2091				0
210	0.1771				0
219	0.254				0
220	0.2049				0
230	0.1878				0
240	0.2					0
250	0.1814				0
259	0.2326				0
260	0.1366				0
268.75	0.2753			0
269	0.1707				0
270	0.16				0
280	0.15				0
290	0.16				0
298.5	0.2073			0
299.5	0.1622			0
310	0.1729				0
318	0.126				0
319	0.1985				0
320	0.175				0
330	0.1793				0
340	0.175				0
350	0.19				0
360	0.2198				0
368	0.2155				0
369	0.2774				0
370	0.1878				0
380	0.1516				0
390	0.1238				0
395	0.1366				0
399	0.269				0
400	0					0
