BARNAME: GOOD
BAREDGE: 2.2
x       dl             id			
0	0.06				0
5	0.05				0
12	0.093				0
16.5	0.1037			0	
21.5	0.144			0
26.5	0.1609			0
31.5	0.1694			0
36.5	0.1863			0
41.5	0.1906			0
46.5	0.1906			0
51.5	0.2				0
56.5	0.2095			0	
61.5	0.216			0
66.5	0.2055			0
71.5	0.214			0
85.5	0.2032			0
90.5	0.1947			0
100.5	0.2074			0
105.5	0.2265			0
110.5	0.2222			0
115.5	0.252			0
120.5	0.2857			0
121.5	0.2434			0
127.5	0.2858			0
128		0.2434			0
135.5	0.2476			0	
145.5	0.2647			0
155.5	0.2667			0
165.5	0.2539			0
175.5	0.2392			0
180.5	0.2349			0
190.5	0.2328			0
198.45	0.2392			0
200	0.2246			0
202	0.2116			0
205	0.2455			0
215	0.2688			0
220	0.273			0
225	0.273			0
230	0.3048			0
235	0.2921			0
240	0.2879			0
245	0.2244			0
250	0.1969			0
255	0.1545			0
260	0.1715			0
265	0.2053			0
270	0.237			0
275	0.2688			0
280	0.2963			0
285	0.3217			0
290	0.3662			0
295	0.3958			0
300	0.4423			0
310	0.4699			0
315	0.4721			0
320	0.4826			0
325	0.4551			0
330	0.508			0
335	0.5079			0
340	0.5058			0
345	0.4975			0
350	0.5017			0
355	0.4615			0
360	0.4212			0
365	0.3663			0
368.75	0.43		0
369.25	0.2858		0
375	0.1863			0
380	0.146			0
390	0.1164			0
395	0.08253			0
400	0				0


