BARNAME: GOOD
BAREDGE: 3.1
x       dl             id				
0	0.2				0
0.5	0.02				0
5	0.015				0
6	0.1845				0
6.2	0.02				0
11.75	0.0402				0
12	0.02				0
17	0.1271				0
19	0.02				0
23.5	0.0996				0
23.75	0.01				0
24.5	0.2648				0
24.8	0.005				0
35.5	0.3				0
36	0.02				0
36.5	0.4661				0
36.8	0.005				0
41.75	0.0849				0
42	0.005				0
69	0.08				0
70	0.005				0
111	0.1462				0
111.25	0.0				0
111.5	0.07				0
112	0.005				0
138	0.1039				0
138.5	0.2352				0
139	0.0				0
181	0.02				0
182	0.005				0
189.5	0.0657				0
189.75	0.0				0
210	0.01				0
349	0.053				0
349.5	0.01				0
375	0.044				0
380	0.03				0
399	0.06				0
400	0				0


